file,class,window,frames,causal_peak,causal_peak_t,offline_peak,truncated
clean_a.csv,clean,3,269,7.333333333333371,6.4831,6.0,False
clean_b.csv,clean,3,235,9.666666666666686,4.9453,17.0,False
clean_c.csv,clean,3,210,3.3333333333333144,3.8127,0.0,False
collide_a.csv,collision,3,386,0.0,0.0,0.0,False
collide_b.csv,collision,3,225,0.0,0.0,0.0,False
collide_c.csv,collision,3,225,0.0,0.0,0.0,False
slip_a.csv,slip,3,435,316.3333333333333,7.3921,317.0,False
slip_b.csv,slip,3,191,382.0,4.5164,386.0,False
slip_c.csv,slip,3,221,372.33333333333337,5.2822,374.0,False
clean_a.csv,clean,5,269,6.199999999999989,6.4831,6.0,False
clean_b.csv,clean,5,235,7.800000000000011,5.0121,17.0,False
clean_c.csv,clean,5,210,2.0,3.8127,0.0,False
collide_a.csv,collision,5,386,0.0,0.0,0.0,False
collide_b.csv,collision,5,225,0.0,0.0,0.0,False
collide_c.csv,collision,5,225,0.0,0.0,0.0,False
slip_a.csv,slip,5,435,316.2,7.459,317.0,False
slip_b.csv,slip,5,191,376.20000000000005,4.5164,386.0,False
slip_c.csv,slip,5,221,368.4,5.2822,374.0,False
clean_a.csv,clean,10,269,5.2000000000000455,6.4831,6.0,False
clean_b.csv,clean,10,235,6.300000000000011,5.0457,17.0,False
clean_c.csv,clean,10,210,0.30000000000001137,3.8127,0.0,False
collide_a.csv,collision,10,386,0.0,0.0,0.0,False
collide_b.csv,collision,10,225,0.0,0.0,0.0,False
collide_c.csv,collision,10,225,0.0,0.0,0.0,False
slip_a.csv,slip,10,435,315.90000000000003,7.6262,317.0,False
slip_b.csv,slip,10,191,354.09999999999997,4.6837,386.0,False
slip_c.csv,slip,10,221,364.7,5.2822,374.0,False
clean_a.csv,clean,15,269,3.6666666666666856,6.4831,6.0,False
clean_b.csv,clean,15,235,5.333333333333314,5.0457,17.0,False
clean_c.csv,clean,15,210,0.0,0.0,0.0,False
collide_a.csv,collision,15,386,0.0,0.0,0.0,False
collide_b.csv,collision,15,225,0.0,0.0,0.0,False
collide_c.csv,collision,15,225,0.0,0.0,0.0,False
slip_a.csv,slip,15,435,307.6666666666667,7.6597,317.0,False
slip_b.csv,slip,15,191,260.33333333333337,4.8174,386.0,False
slip_c.csv,slip,15,221,349.2,5.3156,374.0,False
clean_a.csv,clean,30,269,0.0,0.0,6.0,False
clean_b.csv,clean,30,235,0.0,0.0,17.0,False
clean_c.csv,clean,30,210,0.0,0.0,0.0,False
collide_a.csv,collision,30,386,0.0,0.0,0.0,False
collide_b.csv,collision,30,225,0.0,0.0,0.0,False
collide_c.csv,collision,30,225,0.0,0.0,0.0,False
slip_a.csv,slip,30,435,158.99999999999997,7.7935,317.0,False
slip_b.csv,slip,30,191,0.0,0.0,386.0,False
slip_c.csv,slip,30,221,187.16666666666666,5.6829,374.0,False
clean_a.csv,clean,50,269,0.0,0.0,6.0,False
clean_b.csv,clean,50,235,0.0,0.0,17.0,False
clean_c.csv,clean,50,210,0.0,0.0,0.0,False
collide_a.csv,collision,50,386,0.0,0.0,0.0,False
collide_b.csv,collision,50,225,0.0,0.0,0.0,False
collide_c.csv,collision,50,225,0.0,0.0,0.0,False
slip_a.csv,slip,50,435,96.47999999999999,7.7935,317.0,False
slip_b.csv,slip,50,191,0.0,0.0,386.0,False
slip_c.csv,slip,50,221,112.89999999999998,5.6829,374.0,False
clean_a.csv,clean,150,269,0.0,0.0,6.0,False
clean_b.csv,clean,150,235,0.0,0.0,17.0,False
clean_c.csv,clean,150,210,0.0,0.0,0.0,False
collide_a.csv,collision,150,386,0.0,0.0,0.0,False
collide_b.csv,collision,150,225,0.0,0.0,0.0,False
collide_c.csv,collision,150,225,0.0,0.0,0.0,False
slip_a.csv,slip,150,435,0.0,0.0,317.0,False
slip_b.csv,slip,150,191,0.0,0.0,386.0,False
slip_c.csv,slip,150,221,0.0,0.0,374.0,False
clean_a.csv,clean,500,269,0.0,0.0,6.0,True
clean_b.csv,clean,500,235,0.0,0.0,17.0,True
clean_c.csv,clean,500,210,0.0,0.0,0.0,True
collide_a.csv,collision,500,386,0.0,0.0,0.0,True
collide_b.csv,collision,500,225,0.0,0.0,0.0,True
collide_c.csv,collision,500,225,0.0,0.0,0.0,True
slip_a.csv,slip,500,435,0.0,0.0,317.0,True
slip_b.csv,slip,500,191,0.0,0.0,386.0,True
slip_c.csv,slip,500,221,0.0,0.0,374.0,True
