t,marker,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,-5.010989010989011,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.637528259231349,2211,873,3636,2694,2119,1481,0,0,0,0,0,0,0,0,0,0,0,0,122,124,123,125,122,124,40,42,42,43,41,43,0,0,0,0,0,0
0.0334,,-5.010989010989011,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.7128862094951014,2211,873,3636,2694,2119,1481,0,0,0,0,0,0,-113,42,-27,27,30,-84,122,124,123,125,122,124,40,42,42,43,41,43,12,4,0,0,1,7
0.0668,,-5.0989010989010985,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.7128862094951014,2208,873,3636,2694,2118,1481,0,0,0,0,0,0,-86,37,-27,27,34,-55,122,124,122,125,122,124,40,42,42,43,41,43,7,3,0,0,1,4
0.1002,,-5.186813186813187,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.7882441597588548,2201,873,3636,2694,2118,1481,-200,0,0,0,0,0,-58,37,-27,27,34,-55,122,124,123,125,121,124,40,42,42,43,41,43,2,2,0,0,1,4
0.1337,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.7882441597588548,2199,873,3636,2694,2118,1481,-150,0,0,0,0,0,-51,37,-27,27,34,-48,122,124,122,125,121,124,40,42,42,43,41,43,1,2,0,0,0,2
0.1671,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.7882441597588548,2196,873,3636,2694,2118,1481,-50,0,0,0,0,0,-48,37,-27,27,34,-48,122,124,123,125,121,124,40,42,42,43,41,43,6,2,1,0,1,1
0.2006,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.7882441597588548,2193,873,3636,2694,2119,1481,-100,0,0,0,0,0,-34,37,-27,27,30,-48,122,124,122,125,122,124,40,42,42,43,41,43,3,2,0,0,0,1
0.2341,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.7882441597588548,2192,873,3636,2694,2119,1481,-50,0,0,0,0,0,-30,37,-27,27,30,-48,122,124,122,125,122,124,40,42,42,43,41,43,0,2,0,0,0,2
0.2676,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.8636021100226077,2192,873,3636,2694,2119,1481,0,0,0,0,0,0,-30,37,-27,27,30,-48,122,124,122,125,122,124,40,42,42,43,41,43,0,3,0,0,1,2
0.3011,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.8636021100226077,2190,873,3636,2694,2119,1481,-50,0,0,0,0,0,-27,37,-27,27,30,-44,122,124,122,125,122,124,40,42,42,43,41,43,4,2,0,0,0,1
0.3346,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.93896006028636,2190,873,3636,2694,2119,1481,-50,0,0,0,0,0,-23,37,-27,27,30,-44,122,124,123,125,122,124,40,42,42,43,41,43,1,2,0,0,1,0
0.3681,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,2.93896006028636,2190,873,3636,2694,2119,1481,0,0,0,0,0,0,-23,37,-27,27,30,-41,122,124,123,125,122,124,40,42,42,43,41,43,0,2,0,0,1,0
0.4016,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,3.014318010550113,2190,873,3636,2694,2119,1481,0,0,0,0,0,0,-23,37,-27,27,30,-41,122,124,122,125,122,124,40,42,42,43,41,44,0,2,0,0,1,0
0.4351,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.637362637362638,3.014318010550113,2190,873,3636,2694,2119,1481,0,0,0,0,0,0,-23,37,-27,27,30,-37,122,124,123,125,122,124,40,42,42,43,41,43,0,2,0,0,0,0
0.4686,,-5.362637362637362,-80.61538461538461,92.21978021978022,68.08791208791209,6.725274725274725,3.089675960813866,2190,873,3636,2694,2119,1481,0,0,0,0,0,0,-23,37,-27,27,30,-37,122,124,123,125,122,124,40,42,42,43,41,43,0,3,0,0,1,0
0.502,,-5.362637362637362,-80.61538461538461,92.21978021978022,68.08791208791209,6.725274725274725,3.6171816126601355,2190,873,3636,2694,2119,1481,0,0,0,0,0,0,-27,37,-27,27,34,-34,122,124,123,125,122,124,40,42,42,43,41,43,0,2,0,0,2,0
0.5355,,-5.362637362637362,-80.61538461538461,92.21978021978022,68.08791208791209,6.813186813186813,4.822908816880181,2190,873,3636,2694,2119,1481,0,0,0,0,0,0,-27,37,-27,27,34,44,122,124,122,125,122,124,40,42,42,43,41,43,0,3,0,0,3,0
0.5689,,-5.362637362637362,-80.61538461538461,92.21978021978022,68.08791208791209,6.813186813186813,7.083647324792766,2190,873,3636,2694,2119,1483,0,0,0,0,0,0,-27,37,-27,27,37,117,122,124,122,125,122,124,40,42,42,43,41,43,0,3,0,0,3,9
0.6023,,-5.362637362637362,-80.61538461538461,92.21978021978022,68.08791208791209,6.813186813186813,10.097965335342879,2190,873,3636,2694,2119,1486,0,0,0,0,0,100,-27,37,-27,27,37,222,122,124,122,125,121,124,40,42,42,43,41,44,0,3,0,0,2,24
0.6359,,-5.274725274725275,-80.61538461538461,92.21978021978022,68.08791208791209,6.813186813186813,13.790504898266768,2190,873,3636,2694,2119,1504,0,0,0,0,0,300,-27,37,-27,27,37,317,122,124,122,125,121,124,40,42,42,43,41,43,0,3,0,0,2,31
0.6694,,-5.010989010989011,-80.61538461538461,92.21978021978022,68.08791208791209,6.813186813186813,17.633760361718164,2190,873,3636,2694,2119,1530,0,0,0,0,0,700,-23,37,-27,27,37,322,122,124,122,125,121,124,40,42,42,43,41,43,0,2,0,0,3,46
