t,marker,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.197802197802198,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,0,0,0,0,0,0,122,124,123,125,122,124,40,42,42,43,41,44,0,0,0,0,0,0
0.0334,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.197802197802198,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,52,-27,30,0,-99,122,124,123,125,122,124,40,42,42,43,41,44,0,4,1,0,0,12
0.0668,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.197802197802198,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,122,125,122,124,40,42,43,43,41,44,0,2,0,0,0,13
0.1003,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.197802197802198,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,123,125,122,124,40,42,42,43,41,44,0,2,0,0,0,10
0.1338,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.197802197802198,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,122,125,121,124,40,42,42,43,41,44,0,2,1,0,0,10
0.1673,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.197802197802198,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,122,125,121,124,40,42,43,43,41,43,0,2,0,0,0,10
0.2008,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.285714285714286,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,122,125,122,124,40,42,42,43,41,44,0,2,0,0,0,10
0.2343,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.285714285714286,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,122,125,122,124,40,42,42,43,41,43,0,3,0,0,0,9
0.2678,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.285714285714286,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,122,125,122,124,40,42,42,43,41,44,0,2,0,0,0,10
0.3012,,-3.1648351648351647,-80.61538461538461,92.3956043956044,68.08791208791209,6.285714285714286,2.637528259231349,2214,873,3638,2693,2119,1485,0,0,0,0,0,0,-23,37,-27,30,0,-72,122,124,122,125,121,124,40,42,42,43,41,43,0,2,0,0,0,10
