t,marker,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,-2.197802197802198,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2094,1485,0,0,0,0,0,0,0,0,0,0,0,0,122,124,123,125,122,124,40,42,42,43,41,44,0,0,0,0,0,0
0.0335,,-2.10989010989011,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2094,1485,0,0,0,0,0,0,27,38,-30,46,65,-101,122,124,123,125,122,124,40,42,43,43,41,44,1,3,5,3,7,13
0.0669,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2095,1484,0,0,0,0,0,-50,30,37,-30,37,51,-76,122,124,122,125,122,124,40,42,42,43,41,44,1,2,1,0,5,12
0.1004,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2096,1483,0,0,0,0,50,-50,34,37,-30,37,48,-72,122,124,122,125,121,124,40,42,43,43,41,44,1,2,1,0,3,10
0.1338,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2097,1483,0,0,0,0,50,0,34,37,-30,37,-76,-72,122,124,122,125,121,124,40,42,43,43,41,44,1,1,1,1,2,10
0.1672,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2097,1483,0,0,0,0,50,0,34,37,-30,37,41,-72,122,124,122,125,121,124,40,42,42,43,41,44,1,2,0,1,3,11
0.2006,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2097,1483,0,0,0,0,0,0,34,37,-30,37,41,-72,122,124,122,125,121,124,40,42,43,43,41,44,1,2,1,0,4,10
0.234,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2097,1483,0,0,0,0,0,0,34,37,-30,37,41,-72,122,124,122,125,121,124,40,42,43,43,41,44,1,2,1,1,4,10
0.2674,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2097,1483,0,0,0,0,0,0,34,37,-30,37,41,-72,122,124,122,125,121,124,40,42,42,43,41,44,1,2,0,1,3,10
0.3008,,-2.021978021978022,-80.61538461538461,92.3076923076923,68.26373626373626,4.967032967032967,2.4868123587038435,2220,873,3638,2693,2097,1483,0,0,0,0,0,0,34,37,-30,37,41,-72,122,124,122,125,121,124,40,42,43,43,41,44,1,3,0,0,4,10
