t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper,goal2.shoulder_pan,goal2.shoulder_lift,goal2.elbow_flex,goal2.wrist_flex,goal2.wrist_roll,goal2.gripper
0.0,,0,-8.527472527472527,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2071,870,3608,2744,2130,1484,0,0,0,0,0,0,0,0,0,34,44,-65,122,124,123,125,122,124,43,44,43,46,44,45,0,0,0,0,0,0,0,0,0,0,0,0
0.0334,,1,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2072,870,3608,2742,2131,1484,0,0,0,0,0,0,120,68,84,-98,-195,-97,122,124,122,125,121,124,43,44,43,46,44,45,10,6,8,8,6,14,0,0,0,0,0,0
0.0668,,2,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2082,870,3617,2735,2124,1482,250,0,300,-200,-300,0,270,51,69,-90,45,-69,122,124,122,125,121,124,43,44,44,46,44,45,53,6,1,3,6,11,0,0,0,0,0,0
0.1002,,3,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2100,870,3624,2729,2123,1481,550,0,250,-200,-150,-50,247,51,41,-58,-55,-65,122,124,122,125,121,124,43,44,43,46,44,45,28,5,0,1,4,10,0,0,0,0,0,0
0.1336,,4,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2115,870,3628,2725,2121,1479,500,0,200,-150,-100,-50,69,51,0,-48,-48,-58,122,124,122,125,121,124,43,44,43,46,44,45,9,5,0,2,3,7,0,0,0,0,0,0
0.167,,5,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2127,870,3633,2721,2117,1478,350,0,150,-150,-50,-50,108,51,-30,87,-34,-55,122,124,122,125,121,124,43,44,44,46,44,45,1,5,1,0,1,6,0,0,0,0,0,0
0.2004,,6,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2135,870,3633,2719,2116,1478,300,0,50,-100,-100,0,79,51,-30,-23,-30,-55,122,124,122,125,121,124,43,44,43,46,44,45,0,5,0,0,2,7,0,0,0,0,0,0
0.2338,,7,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2139,870,3633,2718,2116,1478,150,0,0,-50,0,0,69,51,-30,0,-30,-55,122,124,122,125,121,124,43,44,43,46,44,45,1,5,0,0,0,6,0,0,0,0,0,0
0.2672,,8,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2142,870,3633,2718,2115,1478,100,0,0,0,0,0,55,51,-30,0,-27,-55,122,124,122,125,121,124,43,44,43,46,44,45,2,6,0,0,0,7,0,0,0,0,0,0
0.3006,,9,-8.43956043956044,-80.52747252747253,91.78021978021978,69.84615384615384,5.670329670329671,2.4868123587038435,2145,870,3633,2718,2115,1478,100,0,0,0,0,0,44,51,-30,0,-27,-55,122,124,122,125,121,124,43,44,44,46,44,45,2,5,0,0,1,7,0,0,0,0,0,0
0.334,,10,-8.43956043956044,-80.52747252747253,91.6923076923077,69.84615384615384,5.670329670329671,2.4868123587038435,2146,870,3633,2718,2115,1478,50,0,0,0,0,0,37,51,-34,0,-27,-55,122,124,122,125,121,124,43,44,43,46,44,45,2,4,1,0,0,8,0,0,0,0,0,0
0.3674,,11,-8.43956043956044,-80.52747252747253,91.6043956043956,70.02197802197803,5.670329670329671,2.4868123587038435,2147,870,3633,2718,2115,1478,50,0,0,0,0,0,34,51,-37,0,-27,-55,122,124,122,125,121,124,43,44,43,46,44,45,1,5,1,0,1,6,0,0,0,0,0,0
0.4008,,12,-8.43956043956044,-80.52747252747253,91.51648351648352,70.10989010989012,5.758241758241758,2.562170308967596,2147,870,3633,2718,2115,1478,0,0,0,0,0,0,34,51,-41,0,-27,-55,122,124,122,125,121,124,43,44,43,46,44,45,3,6,1,0,1,7,0,0,0,0,0,0
0.4343,,13,-8.43956043956044,-80.52747252747253,91.42857142857143,70.10989010989012,5.846153846153846,2.562170308967596,2147,870,3633,2718,2115,1478,0,0,0,0,0,0,34,51,-44,23,-23,-51,122,124,122,125,121,124,42,44,43,46,44,45,3,6,3,0,0,6,0,0,0,0,0,0
0.4676,,14,-8.527472527472527,-80.52747252747253,91.16483516483517,70.10989010989012,5.846153846153846,2.562170308967596,2147,870,3633,2718,2115,1478,0,0,0,0,0,0,34,51,-48,23,0,-51,122,124,122,125,121,124,43,44,43,46,44,45,3,5,4,0,0,6,0,0,0,0,0,0
0.501,,15,-8.527472527472527,-80.52747252747253,90.54945054945055,70.02197802197803,5.934065934065934,2.562170308967596,2147,870,3633,2718,2115,1478,0,0,0,0,0,0,30,51,-59,23,0,-51,122,124,122,125,121,124,43,44,43,46,44,45,2,6,6,0,0,6,0,0,0,0,0,0
0.5345,,16,-8.527472527472527,-80.52747252747253,89.23076923076923,70.02197802197803,5.934065934065934,2.562170308967596,2147,870,3633,2718,2115,1478,0,0,0,0,0,0,30,51,-99,0,0,-51,122,124,122,125,121,124,43,44,44,46,44,45,1,6,17,0,0,7,0,0,0,0,0,0
0.5679,,17,-8.527472527472527,-80.43956043956044,87.47252747252747,70.02197802197803,5.934065934065934,2.562170308967596,2147,870,3633,2718,2115,1478,0,0,0,0,0,0,30,51,-162,0,0,-51,122,124,122,125,121,124,42,44,43,46,44,45,2,5,42,0,0,7,0,0,0,0,0,0
