t,marker,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,859,3653,2691,2088,1533,0,0,0,0,0,0,0,0,0,0,0,0,122,124,123,125,122,124,39,41,42,43,40,43,0,0,0,0,0,0
0.0335,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,859,3653,2691,2088,1533,0,0,0,0,0,0,30,101,-106,132,87,-44,122,124,122,125,122,124,39,41,42,42,40,43,2,14,14,6,10,3
0.067,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,861,3651,2692,2090,1531,0,50,0,0,50,-50,30,79,-107,122,55,-37,122,124,122,125,121,124,40,41,42,42,40,43,0,12,26,26,4,0
0.1005,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2692,2092,1530,0,0,-50,50,50,-50,30,76,-97,104,48,-30,122,124,122,125,121,124,40,41,42,43,40,43,0,9,23,24,4,0
0.134,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2093,1528,0,50,0,0,50,-50,30,72,-97,101,44,-23,122,124,122,125,121,124,40,41,42,43,40,43,1,10,22,22,4,0
0.1674,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,50,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,43,40,43,1,11,23,21,2,0
0.2009,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,43,40,43,0,12,23,22,3,0
0.2344,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,42,40,43,0,11,23,22,4,0
0.2678,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,42,40,43,0,11,22,22,4,0
0.3012,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,43,40,43,0,12,22,23,4,0
0.3347,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,42,40,43,0,12,22,22,4,0
0.3681,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,42,40,43,1,11,23,22,3,0
0.4016,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,43,40,43,1,12,23,22,3,0
0.435,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,43,40,43,0,11,23,23,3,0
0.4684,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,42,40,43,1,12,23,22,4,0
0.5018,,-21.0989010989011,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,43,40,43,0,12,23,22,3,0
0.5353,,-21.274725274725274,-80.61538461538461,91.6923076923077,69.84615384615384,4.7032967032967035,6.330067822155237,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,30,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,43,40,43,1,11,23,23,4,0
0.5687,,-21.714285714285715,-80.61538461538461,91.6923076923077,69.75824175824175,4.8791208791208796,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,23,72,-97,101,41,-23,122,124,122,125,121,124,40,41,42,42,40,43,0,11,23,22,4,0
0.6022,,-21.802197802197803,-80.61538461538461,91.78021978021978,69.75824175824175,4.8791208791208796,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-37,72,-97,97,48,0,122,124,122,125,121,124,40,41,42,43,40,43,1,11,23,20,5,0
0.6357,,-21.802197802197803,-80.61538461538461,91.78021978021978,69.75824175824175,4.7032967032967035,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-30,72,-93,97,48,0,122,124,122,125,121,124,40,41,42,43,40,43,1,11,21,21,4,0
0.6691,,-21.802197802197803,-80.61538461538461,91.78021978021978,69.75824175824175,4.7032967032967035,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-30,72,-93,97,41,0,122,124,122,125,121,124,39,41,42,43,40,43,1,11,21,21,4,0
0.7026,,-21.802197802197803,-80.61538461538461,91.78021978021978,69.75824175824175,4.8791208791208796,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-30,72,-93,97,41,0,122,124,122,125,121,124,40,41,42,42,40,43,0,12,22,21,4,0
0.7361,,-21.802197802197803,-80.61538461538461,91.78021978021978,69.75824175824175,4.8791208791208796,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-30,72,-93,97,48,0,122,124,122,125,121,124,40,41,42,43,40,43,1,12,21,21,6,0
0.7695,,-21.714285714285715,-80.61538461538461,91.78021978021978,69.75824175824175,4.7032967032967035,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-30,72,-93,97,48,0,122,124,122,125,121,124,40,41,42,43,40,43,1,12,21,20,4,0
0.803,,-21.714285714285715,-80.61538461538461,91.78021978021978,69.75824175824175,4.791208791208791,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-27,72,-93,97,41,0,122,124,122,125,121,124,39,41,42,43,40,43,0,12,21,20,3,0
0.8365,,-21.714285714285715,-80.61538461538461,91.78021978021978,69.75824175824175,4.8791208791208796,6.480783722682743,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-27,72,-93,97,44,0,122,124,122,125,121,124,39,41,42,42,40,43,0,11,22,21,4,0
0.8699,,-21.714285714285715,-80.61538461538461,91.78021978021978,69.75824175824175,4.8791208791208796,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-27,72,-93,97,48,0,122,124,122,125,121,124,39,41,42,42,40,43,0,11,22,20,5,0
0.9032,,-21.714285714285715,-80.61538461538461,91.78021978021978,69.75824175824175,4.8791208791208796,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-27,72,-93,97,48,0,122,124,122,125,121,124,40,41,42,42,40,43,0,12,21,21,5,0
0.9367,,-21.714285714285715,-80.61538461538461,91.78021978021978,69.75824175824175,4.615384615384615,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-27,72,-93,97,48,0,122,124,122,125,121,124,40,41,42,43,40,43,1,12,22,20,4,0
0.9701,,-21.0989010989011,-80.61538461538461,91.78021978021978,69.75824175824175,4.791208791208791,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,-27,72,-93,97,37,0,122,124,122,125,121,124,39,41,42,43,40,43,0,11,21,21,3,0
1.0036,,-20.483516483516482,-80.61538461538461,91.78021978021978,69.67032967032966,4.8791208791208796,6.40542577241899,2004,863,3650,2693,2094,1528,0,0,0,0,0,0,38,72,-93,97,44,0,122,124,122,125,121,124,40,41,42,43,40,43,1,11,22,21,4,0
1.0371,,-19.34065934065934,-80.61538461538461,91.78021978021978,69.67032967032966,4.8791208791208796,6.40542577241899,2006,863,3650,2693,2095,1528,0,0,0,0,0,0,51,72,-93,93,44,0,122,124,122,125,121,124,40,41,42,42,40,43,3,11,22,18,4,0
1.0706,,-18.021978021978022,-80.61538461538461,91.6043956043956,69.67032967032966,4.8791208791208796,6.40542577241899,2009,863,3650,2693,2095,1528,100,0,0,0,0,0,113,72,-93,93,44,0,122,124,122,125,121,124,40,41,42,42,40,43,12,11,21,18,4,0
1.1041,,-16.35164835164835,-80.61538461538461,91.51648351648352,69.58241758241758,4.967032967032967,6.480783722682743,2016,863,3650,2693,2095,1528,200,0,0,0,0,0,143,72,-101,93,44,0,122,124,122,125,121,124,40,41,42,43,40,43,18,11,24,18,4,0
1.1375,,-14.32967032967033,-80.61538461538461,91.51648351648352,69.58241758241758,4.967032967032967,6.556141672946496,2026,863,3650,2693,2095,1528,250,0,0,0,0,0,176,72,-104,90,48,0,122,124,122,125,121,124,40,41,42,42,40,43,11,11,25,17,4,0
1.1709,,-12.307692307692308,-80.61538461538461,91.6923076923077,69.58241758241758,4.967032967032967,6.706857573474001,2039,863,3650,2693,2095,1528,350,0,0,0,0,0,208,72,-104,90,48,23,122,124,122,125,121,124,40,41,42,42,40,43,8,11,26,17,4,0
1.2044,,-10.989010989010989,-80.61538461538461,91.86813186813187,69.58241758241758,4.8791208791208796,6.706857573474001,2055,863,3650,2693,2095,1528,450,0,0,0,0,0,144,72,-97,90,48,30,122,124,122,125,121,124,40,41,42,42,40,43,23,11,22,17,4,0
1.2379,,-10.285714285714286,-80.61538461538461,91.86813186813187,69.58241758241758,4.527472527472527,6.706857573474001,2073,863,3650,2693,2095,1528,550,0,0,0,0,0,236,72,-90,90,44,30,122,124,122,125,121,124,40,41,42,43,40,43,17,11,19,17,4,0
1.2714,,-9.934065934065934,-80.61538461538461,91.86813186813187,69.58241758241758,4.43956043956044,6.631499623210249,2089,863,3650,2693,2095,1528,500,0,0,0,0,0,96,72,-90,90,30,30,122,124,122,125,121,124,39,41,42,43,40,43,14,11,18,17,1,0
1.3049,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.43956043956044,6.631499623210249,2103,863,3650,2693,2095,1528,400,0,0,0,0,0,136,72,-90,90,27,27,122,124,122,125,121,124,40,41,42,43,40,43,12,12,19,16,1,0
1.3384,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.43956043956044,6.631499623210249,2113,863,3650,2693,2095,1528,350,0,0,0,0,0,104,72,-90,90,27,27,122,124,122,125,121,124,40,41,42,43,40,43,6,11,19,17,0,0
1.3718,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.43956043956044,6.556141672946496,2119,863,3650,2693,2095,1528,250,0,0,0,0,0,86,72,-90,90,27,27,122,124,122,125,121,124,40,41,42,43,40,43,5,12,19,17,0,0
1.4052,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.43956043956044,6.556141672946496,2123,863,3650,2693,2095,1528,150,0,0,0,0,0,69,72,-90,90,27,23,122,124,122,125,121,124,40,41,42,42,40,43,6,11,19,17,0,0
1.4386,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.527472527472527,6.480783722682743,2126,863,3650,2693,2095,1528,100,0,0,0,0,0,58,72,-90,90,27,23,122,124,122,125,121,124,40,41,42,42,40,43,3,11,18,17,1,0
1.472,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.615384615384615,6.480783722682743,2128,863,3650,2693,2095,1528,50,0,0,0,0,0,48,72,-90,90,30,0,122,124,122,125,121,124,40,41,42,43,40,43,4,11,19,18,2,0
1.5054,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.615384615384615,6.480783722682743,2129,863,3650,2693,2095,1528,50,0,0,0,0,0,44,72,-90,90,34,0,122,124,122,125,121,124,40,41,42,42,40,43,3,11,18,17,2,0
1.5388,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.615384615384615,6.631499623210249,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,41,72,-90,90,34,0,122,124,122,125,121,124,40,41,42,43,40,43,3,11,17,18,2,0
1.5722,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.527472527472527,6.782215523737754,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,41,72,-90,90,34,27,122,124,122,125,121,124,39,41,42,42,40,43,4,12,18,18,2,0
1.6056,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,6.857573474001508,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,41,72,-90,90,30,34,122,124,122,125,121,124,39,41,42,43,40,43,3,11,19,18,2,1
1.639,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,6.857573474001508,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,41,72,-90,90,23,41,122,124,122,125,121,124,40,41,42,42,40,43,4,11,19,17,0,1
1.6724,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,6.857573474001508,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,41,72,-90,90,23,41,122,124,122,125,121,124,39,41,42,42,40,43,3,11,20,18,0,0
1.7058,,-9.758241758241759,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,6.857573474001508,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,41,72,-90,90,23,41,122,124,122,125,121,124,39,41,42,43,40,43,4,11,18,18,0,0
1.7392,,-9.846153846153847,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,6.857573474001508,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,41,72,-90,90,23,41,122,124,122,125,121,124,40,41,42,42,40,43,3,12,18,17,0,0
1.7726,,-9.846153846153847,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,6.857573474001508,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,37,72,-90,90,23,41,122,124,122,125,121,124,40,41,42,43,40,43,2,12,18,18,0,1
1.806,,-10.021978021978022,-80.61538461538461,91.86813186813187,69.58241758241758,4.43956043956044,6.932931424265259,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,37,72,-90,90,23,41,122,124,122,125,121,124,40,41,42,43,40,43,2,11,19,18,0,2
1.8394,,-10.637362637362637,-80.61538461538461,91.86813186813187,69.58241758241758,4.7032967032967035,7.083647324792766,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,30,72,-90,90,27,44,122,124,122,125,121,124,40,41,42,42,40,43,1,11,19,17,1,2
1.8728,,-10.813186813186814,-80.61538461538461,91.86813186813187,69.58241758241758,4.43956043956044,7.1590052750565185,2130,863,3650,2693,2095,1528,0,0,0,0,0,0,-42,72,-90,90,37,51,122,124,122,125,121,124,39,41,42,42,40,43,1,11,18,17,3,4
1.9062,,-10.373626373626374,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,7.1590052750565185,2129,863,3650,2693,2095,1528,-50,0,0,0,0,0,-30,72,-90,90,27,55,122,124,122,125,121,124,40,41,42,42,40,43,3,11,19,17,1,4
1.9396,,-10.021978021978022,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,7.309721175584024,2129,863,3650,2693,2095,1528,0,0,0,0,0,0,0,72,-90,90,23,55,122,124,122,125,121,124,40,41,42,42,40,43,0,11,19,17,0,4
1.973,,-9.934065934065934,-80.61538461538461,91.86813186813187,69.58241758241758,4.351648351648351,7.46043707611153,2129,863,3650,2693,2095,1528,0,0,0,0,0,0,34,72,-90,90,23,65,122,124,122,125,121,124,40,41,42,42,40,43,1,11,19,17,0,8
2.0064,,-9.846153846153847,-80.61538461538461,91.78021978021978,69.58241758241758,4.351648351648351,8.666164280331575,2130,863,3650,2693,2095,1531,50,0,0,0,0,50,34,72,-90,90,23,65,122,124,122,125,121,124,40,41,42,43,40,43,0,11,18,17,0,1
2.0398,,-9.846153846153847,-80.61538461538461,91.78021978021978,69.58241758241758,4.351648351648351,10.7008289374529,2130,863,3650,2693,2095,1534,0,0,0,0,0,50,37,72,-93,90,23,149,122,124,122,125,121,124,40,41,42,42,40,43,2,11,21,17,0,16
2.0732,,-9.758241758241759,-80.61538461538461,91.6923076923077,69.58241758241758,4.351648351648351,13.489073097211756,2130,863,3650,2693,2095,1544,0,0,0,0,0,200,37,72,-93,90,23,222,122,124,122,125,121,124,40,41,42,43,40,43,2,11,20,17,0,46
