t,marker,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.802197802197803,2.8636021100226077,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,0,0,0,0,0,0,122,124,123,125,122,124,40,41,42,43,40,43,0,0,0,0,0,0
0.0335,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.802197802197803,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,27,-79,122,124,123,125,122,124,40,41,42,43,40,43,2,1,6,0,4,7
0.067,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.802197802197803,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,27,-51,122,124,122,125,122,124,40,41,42,43,40,43,1,0,1,0,1,4
0.1004,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.802197802197803,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,27,-51,122,124,122,125,122,124,40,41,42,43,40,43,1,0,1,0,0,4
0.1338,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.802197802197803,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,27,-51,122,124,122,125,122,124,40,41,42,43,40,43,0,0,0,0,1,3
0.1672,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.714285714285714,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,27,-51,122,124,122,125,122,124,40,41,42,43,40,43,0,0,1,0,0,4
0.2006,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.714285714285714,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,23,-51,122,124,122,125,122,124,40,41,42,43,40,43,0,0,0,0,0,4
0.234,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.714285714285714,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,23,-51,122,124,122,125,122,124,40,41,42,43,40,43,1,0,1,0,0,4
0.2674,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.714285714285714,2.93896006028636,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,23,-51,122,124,122,125,122,124,40,41,42,43,40,43,1,0,1,0,0,4
0.3008,,-7.824175824175824,-80.52747252747253,95.91208791208791,56.747252747252745,9.802197802197803,3.014318010550113,2163,883,3680,2570,2156,1484,0,0,0,0,0,0,-30,-27,-34,-23,23,-51,122,124,122,125,122,124,40,41,42,43,40,43,0,0,1,0,0,4
