t,marker,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,-7.032967032967033,-80.08791208791209,96.35164835164835,41.89010989010989,11.736263736263735,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,0,0,0,0,0,0,122,124,123,125,122,124,40,41,42,43,40,43,0,0,0,0,0,0
0.0334,,-7.032967032967033,-80.08791208791209,96.35164835164835,41.89010989010989,11.736263736263735,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,34,0,-23,-43,0,-88,122,124,122,125,122,124,40,41,42,43,40,43,3,0,0,2,0,8
0.0669,,-7.032967032967033,-80.08791208791209,96.35164835164835,41.89010989010989,11.736263736263735,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,34,0,-23,-34,0,-62,122,124,123,125,122,124,40,41,42,43,40,43,2,0,0,0,0,8
0.1004,,-7.1208791208791204,-80.08791208791209,96.35164835164835,41.89010989010989,11.736263736263735,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,34,0,-23,-34,0,-62,122,124,122,125,122,124,40,41,42,43,40,43,2,0,0,0,0,6
0.134,,-7.56043956043956,-80.08791208791209,96.35164835164835,41.89010989010989,11.736263736263735,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,30,0,-23,-34,0,-62,122,124,122,125,122,124,40,42,42,43,40,43,1,0,0,0,0,6
0.1675,,-7.648351648351649,-80.17582417582418,96.35164835164835,41.89010989010989,11.736263736263735,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,0,0,-23,-34,0,-62,122,124,122,125,122,124,40,41,42,43,40,43,0,0,0,0,0,5
0.201,,-7.56043956043956,-80.17582417582418,96.35164835164835,41.89010989010989,11.736263736263735,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,-23,0,-23,-34,0,-62,122,124,122,125,122,124,40,41,42,43,40,43,0,0,0,0,0,6
0.2344,,-7.736263736263736,-80.35164835164835,96.35164835164835,41.89010989010989,11.384615384615385,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,0,0,-23,-34,0,-62,122,124,123,125,122,124,40,41,42,43,40,43,0,0,0,0,0,6
0.2677,,-7.912087912087912,-80.35164835164835,96.35164835164835,41.89010989010989,11.384615384615385,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,-27,-27,-23,-34,-32,-62,122,124,122,125,122,124,40,41,42,43,40,43,3,1,0,0,0,5
0.3012,,-7.912087912087912,-80.35164835164835,96.35164835164835,41.89010989010989,11.384615384615385,2.4868123587038435,2163,885,3682,2404,2180,1480,0,0,0,0,0,0,-34,-27,-23,-34,-27,-62,122,124,122,125,122,124,40,41,42,43,40,43,3,0,0,0,1,6
