t,marker,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,-6.945054945054945,-80.52747252747253,93.27472527472527,64.3076923076923,0.8351648351648352,5.802562170308968,2067,617,3695,2657,2063,1467,0,0,0,0,0,0,0,0,0,0,0,0,122,124,123,125,122,124,38,39,40,41,39,40,0,0,0,0,0,0
0.0335,,-7.208791208791209,-80.52747252747253,93.27472527472527,64.3076923076923,0.9230769230769231,5.802562170308968,2067,617,3695,2657,2063,1467,0,0,0,0,0,0,84,80,-84,-27,-52,97,122,124,123,125,122,124,38,39,40,41,39,40,8,7,8,0,3,10
0.067,,-7.824175824175824,-80.52747252747253,93.27472527472527,64.21978021978022,0.9230769230769231,5.802562170308968,2076,620,3692,2657,2062,1473,200,50,-50,0,-50,50,273,279,-214,-27,-30,116,122,124,122,125,121,124,38,40,40,41,39,40,41,47,42,0,1,25
0.1005,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.9230769230769231,5.802562170308968,2094,645,3683,2657,2062,1484,450,350,-300,0,0,200,305,443,-153,-30,-30,139,121,124,122,124,121,123,38,40,40,41,39,40,36,115,30,0,0,3
0.1339,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.6593406593406593,5.802562170308968,2115,686,3680,2657,2062,1495,650,1150,-150,0,0,350,188,542,-139,-30,-30,-20,121,124,122,124,121,123,38,40,40,41,39,40,10,111,40,0,1,2
0.1674,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.5714285714285714,5.802562170308968,2132,735,3680,2657,2062,1501,550,1400,0,0,0,200,108,378,-139,-30,-41,83,121,124,122,125,121,123,38,39,40,41,39,40,3,48,45,0,4,0
0.2009,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.4835164835164835,5.802562170308968,2138,784,3680,2657,2062,1506,150,1450,0,0,0,150,90,260,-139,-30,-44,62,122,124,122,125,121,123,38,39,40,41,39,40,4,7,47,0,4,2
0.2344,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.4835164835164835,5.802562170308968,2142,820,3680,2657,2061,1509,150,1250,0,0,0,150,76,171,-139,-30,-48,-69,122,124,122,125,121,124,38,39,40,41,39,40,2,1,47,0,5,0
0.2679,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.4835164835164835,5.802562170308968,2147,842,3680,2657,2059,1511,150,750,0,0,-50,100,58,160,-139,-30,-41,41,122,124,122,125,121,124,38,39,40,41,39,40,4,0,47,0,2,1
0.3014,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.4835164835164835,5.802562170308968,2149,853,3680,2657,2057,1513,50,500,0,0,-50,50,48,111,-139,-30,-30,34,122,124,122,125,121,124,38,40,40,41,39,40,2,2,47,0,0,0
0.3349,,-7.912087912087912,-80.52747252747253,93.27472527472527,64.21978021978022,0.5714285714285714,5.802562170308968,2151,859,3680,2656,2056,1514,50,100,0,-50,-50,50,41,-27,-139,-27,-27,30,122,124,122,125,121,124,38,40,40,41,39,40,3,1,47,0,0,0
0.3683,,-8.0,-80.52747252747253,93.27472527472527,64.21978021978022,0.3076923076923077,5.802562170308968,2152,864,3680,2654,2056,1514,0,150,0,0,0,0,37,-41,-139,0,-23,30,122,124,122,125,121,124,38,40,40,41,39,40,1,2,47,0,0,0
0.4017,,-8.175824175824175,-80.52747252747253,93.36263736263736,64.21978021978022,0.21978021978021978,5.802562170308968,2152,867,3680,2654,2056,1514,50,150,0,0,0,0,34,62,-139,0,-34,30,122,124,122,125,121,124,38,39,40,41,39,40,1,2,47,0,2,0
0.4352,,-8.351648351648352,-80.52747252747253,93.36263736263736,64.21978021978022,0.21978021978021978,5.802562170308968,2152,870,3680,2653,2056,1515,0,100,0,-50,0,50,27,55,-136,0,-37,27,122,124,122,125,121,124,38,39,40,41,39,40,0,2,44,0,3,0
0.4687,,-8.351648351648352,-80.52747252747253,93.36263736263736,64.21978021978022,0.21978021978021978,5.802562170308968,2152,871,3680,2652,2056,1515,0,50,0,0,0,0,0,48,-136,0,-37,27,122,124,122,125,121,124,38,39,40,41,39,40,0,2,44,0,2,0
0.5022,,-8.43956043956044,-80.52747252747253,93.36263736263736,64.21978021978022,0.3956043956043956,5.953278070836474,2152,873,3680,2652,2056,1515,0,50,0,0,0,0,0,41,-136,0,-37,27,122,124,122,125,121,124,38,40,40,41,39,40,0,3,44,0,3,0
0.5355,,-8.791208791208792,-80.52747252747253,93.36263736263736,64.21978021978022,0.4835164835164835,6.028636021100226,2152,873,3680,2652,2056,1515,0,0,0,0,0,0,0,41,-136,0,-30,37,122,124,122,125,121,124,38,40,40,41,39,40,0,3,44,0,1,1
0.5689,,-9.142857142857142,-80.52747252747253,93.36263736263736,64.21978021978022,0.6593406593406593,6.028636021100226,2152,873,3680,2652,2056,1515,0,0,0,0,0,0,-30,41,-136,0,-27,41,122,124,122,125,121,124,38,39,40,41,39,40,1,3,44,0,0,1
0.6023,,-9.142857142857142,-80.52747252747253,93.36263736263736,64.21978021978022,0.6593406593406593,6.028636021100226,2152,873,3680,2652,2056,1515,0,0,0,0,0,0,-44,41,-136,0,0,41,122,124,122,125,121,124,38,39,40,41,39,40,4,3,44,0,0,1
