t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,0,-8.527472527472527,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2112,604,3690,2723,2225,1472,0,0,0,0,0,0,0,0,0,0,0,0,122,124,122,125,121,124,44,47,46,46,46,49,0,0,0,0,0,0
0.0334,,1,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2112,604,3690,2723,2225,1472,0,0,0,0,0,0,97,97,-97,-49,-97,-41,121,124,122,125,121,123,45,47,46,46,46,49,13,11,9,3,14,2
0.0669,,2,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2118,609,3687,2723,2215,1472,50,100,-50,0,-150,0,80,299,-243,-37,-200,-34,121,123,121,124,120,123,44,47,46,46,46,49,22,42,46,2,48,2
0.1004,,3,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2128,634,3676,2723,2193,1472,300,650,-400,0,-600,0,-16,465,-188,-37,-244,-34,121,123,121,124,120,123,45,47,46,46,46,49,4,111,24,2,43,1
0.1339,,4,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2138,676,3670,2723,2169,1472,250,1250,-150,0,-750,0,65,477,-164,-37,-134,-34,120,123,121,123,120,122,44,47,46,46,46,49,1,150,29,2,16,2
0.1675,,5,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2141,726,3668,2723,2150,1472,200,1450,-150,0,-650,0,55,527,-153,-37,-83,-34,121,123,121,124,120,123,44,47,46,46,46,49,3,80,43,3,2,1
0.2011,,6,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2142,771,3667,2717,2136,1472,50,1550,0,-100,-450,0,51,363,-153,0,-108,-34,121,123,121,124,120,123,45,47,46,46,46,49,3,16,45,1,5,1
0.2346,,7,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2146,805,3665,2714,2128,1472,50,1200,-50,-250,-400,0,41,209,-143,27,-76,-34,121,123,121,124,120,123,45,47,46,46,46,49,2,2,50,0,1,1
0.2681,,8,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2147,825,3660,2712,2123,1472,50,750,-100,-50,-150,0,34,217,-129,34,-55,-34,121,123,121,124,121,123,44,47,46,46,46,49,2,13,24,2,5,1
0.3016,,9,-8.43956043956044,-80.52747252747253,91.78021978021978,69.84615384615384,5.670329670329671,2.4868123587038435,2148,835,3654,2712,2120,1472,50,400,-200,0,-100,0,30,174,-19,34,-44,-34,121,123,122,124,121,123,45,47,46,46,46,49,2,18,17,1,4,1
0.3351,,10,-8.43956043956044,-80.52747252747253,91.6923076923077,69.84615384615384,5.670329670329671,2.4868123587038435,2150,842,3650,2712,2117,1472,50,200,-150,0,-100,0,27,157,20,34,-34,-34,121,123,122,124,121,123,44,47,46,46,46,49,1,26,13,1,3,1
0.3686,,11,-8.43956043956044,-80.52747252747253,91.6043956043956,70.02197802197803,5.670329670329671,2.4868123587038435,2150,847,3647,2712,2117,1472,50,150,-100,0,0,0,23,136,-90,34,-34,-34,121,123,122,124,121,123,45,47,46,46,46,49,2,32,14,2,4,1
0.4021,,12,-8.43956043956044,-80.52747252747253,91.51648351648352,70.10989010989012,5.758241758241758,2.562170308967596,2150,850,3646,2712,2116,1472,0,100,-50,0,0,0,23,122,-86,41,-30,-34,121,123,122,124,121,123,44,47,46,46,46,49,0,29,12,3,3,1
0.4357,,13,-8.43956043956044,-80.52747252747253,91.42857142857143,70.10989010989012,5.846153846153846,2.562170308967596,2150,852,3646,2712,2116,1472,0,100,0,0,0,0,23,115,-90,44,-27,-30,121,123,121,124,121,123,44,47,46,46,46,49,1,28,18,4,2,0
0.4692,,14,-8.527472527472527,-80.52747252747253,91.16483516483517,70.10989010989012,5.846153846153846,2.562170308967596,2150,852,3646,2712,2116,1472,0,0,0,0,0,0,23,115,-93,44,-23,-30,121,123,121,124,121,123,44,47,46,47,46,49,2,30,20,4,1,0
0.5026,,15,-8.527472527472527,-80.52747252747253,90.54945054945055,70.02197802197803,5.934065934065934,2.562170308967596,2150,852,3645,2712,2116,1472,0,0,0,0,0,0,0,115,-104,44,-23,-30,121,123,121,124,121,123,45,47,46,46,46,49,0,31,29,4,1,1
0.5361,,16,-8.527472527472527,-80.52747252747253,89.23076923076923,70.02197802197803,5.934065934065934,2.562170308967596,2149,852,3644,2712,2116,1472,0,0,-50,0,0,0,23,115,-139,41,0,-30,121,123,121,124,121,123,45,47,46,46,46,49,1,31,33,3,0,0
0.5696,,17,-8.527472527472527,-80.43956043956044,87.47252747252747,70.02197802197803,5.934065934065934,2.562170308967596,2149,853,3640,2712,2116,1472,0,0,-100,0,0,0,23,111,-102,41,0,-30,121,123,121,124,120,123,44,47,46,46,46,49,0,28,46,2,0,1
0.6031,,18,-8.527472527472527,-80.17582417582418,85.27472527472527,70.10989010989012,6.021978021978022,2.562170308967596,2149,857,3632,2714,2121,1472,0,100,-200,50,50,0,23,-16,-228,34,-37,-30,121,123,121,124,120,123,44,47,46,46,46,49,1,22,60,3,9,1
0.6365,,19,-8.527472527472527,-79.47252747252747,82.98901098901099,70.10989010989012,6.021978021978022,2.562170308967596,2149,862,3622,2714,2120,1472,0,150,-250,0,-50,0,23,101,-290,37,-30,-30,121,123,121,124,120,123,45,47,46,46,46,49,1,17,88,2,3,0
0.67,,20,-8.615384615384615,-77.36263736263736,80.7032967032967,70.02197802197803,6.1098901098901095,2.562170308967596,2150,868,3610,2716,2123,1472,50,200,-350,50,100,0,23,127,-255,34,-37,-30,121,123,121,124,120,123,44,47,46,46,46,49,1,17,116,1,3,0
0.7035,,21,-8.791208791208792,-74.28571428571429,78.24175824175825,70.02197802197803,6.9010989010989015,2.562170308967596,2150,877,3596,2721,2124,1472,0,250,-450,200,50,0,0,180,-295,-23,-41,-30,121,123,121,124,120,122,45,47,46,46,46,49,0,19,137,0,4,0
0.737,,22,-9.142857142857142,-70.32967032967034,75.6043956043956,70.02197802197803,8.131868131868131,2.562170308967596,2149,891,3579,2722,2124,1472,-50,400,-500,0,0,0,0,255,-419,-27,109,-30,120,123,121,123,120,122,45,47,46,46,46,49,0,30,172,0,5,1
0.7706,,23,-9.142857142857142,-66.02197802197803,72.7032967032967,70.02197802197803,9.010989010989011,2.562170308967596,2149,911,3559,2722,2126,1472,0,550,-550,0,0,0,-34,332,-366,-27,85,-30,120,122,121,123,120,122,45,47,46,46,46,49,2,30,175,0,13,1
