t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,0,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2105,868,3615,2716,2168,1669,0,0,0,0,0,0,0,0,0,0,0,0,121,123,121,124,120,123,39,40,40,41,40,40,0,0,0,0,0,0
0.0335,,1,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2105,868,3615,2716,2168,1669,0,0,0,0,0,0,135,88,72,80,-80,80,120,122,120,123,119,122,39,40,40,41,40,40,10,8,4,9,6,7
0.067,,2,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2112,869,3619,2716,2162,1674,50,50,50,0,0,0,269,62,41,86,-191,279,118,121,119,121,118,120,39,40,40,41,40,40,64,9,0,19,38,35
0.1005,,3,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2132,869,3622,2716,2141,1695,550,0,100,0,-600,600,282,62,27,86,-173,187,119,121,119,122,118,121,39,40,40,41,39,40,29,9,0,18,29,15
0.134,,4,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2152,869,3625,2716,2124,1714,650,0,100,0,-700,650,90,62,0,86,-76,171,119,122,120,122,119,121,39,40,40,41,40,40,4,8,0,18,4,4
0.1675,,5,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2166,869,3626,2716,2113,1725,500,0,100,0,-400,350,122,62,-23,86,-118,125,120,122,120,123,119,122,39,40,40,41,40,40,3,8,0,18,3,8
0.2009,,6,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2175,869,3627,2716,2106,1733,300,0,0,0,-250,250,97,62,-27,86,-97,104,120,122,120,123,120,122,39,40,40,41,40,40,2,9,0,18,5,10
0.2342,,7,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2180,869,3627,2716,2102,1738,150,0,0,0,-100,150,-45,62,-27,86,-79,83,120,122,121,123,120,122,39,40,40,41,40,40,3,8,0,17,7,9
0.2677,,8,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2183,869,3627,2716,2099,1741,100,0,0,0,-100,100,62,62,-27,86,-69,69,120,122,121,123,120,122,39,40,40,41,40,40,2,9,0,18,1,7
0.3011,,9,-4.65934065934066,-80.35164835164835,91.42857142857143,71.51648351648352,3.2967032967032965,21.175584024114542,2186,869,3627,2716,2097,1743,100,0,0,0,-50,100,51,62,-27,86,-58,62,120,122,121,123,120,122,39,40,40,41,40,40,3,8,0,17,4,4
