t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,0,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2190,699,3695,2750,2088,1532,0,0,0,0,0,0,0,0,0,0,0,0,122,125,123,125,122,124,41,44,43,44,42,45,0,0,0,0,0,0
0.0335,,1,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2190,698,3694,2749,2088,1532,0,0,0,0,0,0,101,-97,-97,-112,-97,-110,122,124,122,125,122,124,41,44,43,44,42,45,14,10,8,13,16,17
0.0669,,2,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2198,692,3693,2746,2085,1524,50,-200,-50,-150,0,-250,216,-162,-76,-330,-198,-160,122,124,122,125,121,124,41,44,43,44,42,45,45,40,3,46,23,45
0.1003,,3,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2210,677,3692,2721,2072,1510,350,-400,-50,-700,-350,-450,146,-123,-72,-413,-125,-127,122,124,122,124,121,123,41,44,43,44,43,45,13,12,3,119,4,30
0.1338,,4,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2221,663,3691,2684,2064,1498,300,-450,0,-1150,-250,-350,30,-136,-69,-440,-104,-143,122,124,122,125,121,123,41,44,43,44,42,45,10,7,7,77,2,9
0.1672,,5,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2227,652,3690,2648,2058,1491,250,-350,-50,-1150,-200,-300,-30,-108,-65,-330,-79,-111,122,124,122,125,121,124,41,44,43,44,42,45,2,1,8,32,2,5
0.2006,,6,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2231,646,3690,2618,2055,1486,100,-200,0,-950,-100,-200,72,-79,-65,-188,-62,27,122,124,122,125,121,124,41,44,43,44,42,45,5,0,9,6,3,6
0.2341,,7,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2233,642,3690,2598,2052,1483,100,-150,0,-650,-100,-100,62,55,-65,-111,-55,-83,122,124,122,125,121,124,41,44,43,44,42,45,7,1,10,3,2,11
0.2675,,8,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2235,639,3689,2584,2051,1482,50,-100,0,-450,-50,-50,55,-51,-65,-160,-48,-79,122,124,122,125,121,124,41,44,43,44,42,45,5,3,5,5,4,12
0.3009,,9,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2236,637,3689,2575,2050,1481,50,-50,0,-350,-50,-50,51,-48,-62,-122,-44,-72,122,124,122,125,121,124,41,44,43,44,42,45,6,3,7,10,3,10
0.3344,,10,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.3956044018268585,2.391629219055176,2237,636,3689,2570,2050,1481,0,-50,0,-250,0,0,48,-41,-62,20,-44,-72,122,124,122,125,121,124,41,44,43,44,42,45,4,2,8,10,3,11
0.3678,,11,-0.17582418024539948,-102.63735961914062,96.04395294189453,54.94505310058594,-0.21978022158145905,2.391629219055176,2237,635,3689,2566,2050,1481,0,-50,0,-100,0,0,48,-37,-62,34,-44,-72,122,124,122,125,121,124,41,44,43,44,42,45,5,3,8,7,3,11
0.4012,,12,-0.5274725556373596,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,635,3689,2564,2050,1481,0,0,0,-50,0,0,48,-37,-62,-79,-37,-72,122,124,122,125,121,124,41,44,43,44,42,45,5,1,8,11,1,11
0.4346,,13,-0.7032967209815979,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,634,3689,2563,2050,1481,0,0,0,-50,0,0,34,-34,-62,-72,-34,-72,122,124,122,125,121,124,41,44,43,44,43,45,2,0,7,10,1,11
0.468,,14,-0.7032967209815979,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,634,3689,2563,2050,1481,0,0,0,0,0,0,27,-34,-62,-72,-34,-72,122,124,122,125,121,124,41,44,43,44,42,45,2,0,8,12,0,12
0.5015,,15,-0.7032967209815979,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,634,3689,2563,2050,1481,0,0,0,0,0,0,27,-34,-62,-72,-34,-72,122,124,122,125,121,124,41,44,43,44,42,45,2,2,8,11,0,11
0.535,,16,-0.7032967209815979,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,634,3689,2563,2050,1481,0,0,0,0,0,0,27,-34,-62,-72,-34,-72,122,124,122,125,121,124,41,44,43,44,43,45,2,1,8,11,1,11
0.5684,,17,-0.791208803653717,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,634,3689,2563,2050,1481,0,0,0,0,0,0,27,-34,-62,-72,-34,-72,122,124,122,125,121,124,41,44,43,44,42,45,1,2,7,12,0,11
0.6018,,18,-0.791208803653717,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,634,3689,2563,2050,1481,0,0,0,0,0,0,23,-34,-62,-72,-34,-72,122,124,122,125,121,124,41,44,43,44,42,45,0,1,8,14,1,11
0.6352,,19,-0.791208803653717,-102.63735961914062,96.04395294189453,54.94505310058594,-0.1318681389093399,2.391629219055176,2237,634,3689,2561,2050,1481,0,0,0,-50,0,0,23,-34,-62,-65,-34,-72,122,124,122,125,121,124,41,44,43,44,42,45,1,1,8,9,1,11
0.6686,,20,-0.7032967209815979,-102.63735961914062,96.04395294189453,54.94505310058594,-0.48351648449897766,2.391629219055176,2237,634,3689,2561,2050,1481,0,0,0,0,0,0,23,-34,-62,-65,-34,-72,122,124,122,125,122,124,41,44,43,44,42,45,0,1,7,10,1,11
0.702,,21,-0.7032967209815979,-102.63735961914062,96.04395294189453,54.94505310058594,-0.48351648449897766,2.391629219055176,2237,634,3689,2561,2050,1481,0,0,0,0,0,0,27,-34,-62,-65,-48,-72,122,124,122,125,121,124,41,44,43,44,42,45,1,1,8,10,5,11
0.7354,,22,-0.8791208863258362,-102.63735961914062,96.04395294189453,54.94505310058594,-0.04395604506134987,2.391629219055176,2237,634,3689,2561,2050,1481,0,0,0,0,0,0,27,-34,-62,-65,-48,-72,122,124,122,125,121,124,41,44,43,44,42,45,1,1,8,10,4,11
0.7688,,23,-0.9670329689979553,-102.63735961914062,95.95604705810547,55.03296661376953,-0.04395604506134987,2.391629219055176,2237,634,3689,2561,2050,1481,0,0,0,0,0,0,0,-34,-62,-65,-18,-72,122,124,122,125,121,124,41,44,43,44,42,45,0,1,8,9,1,11
0.8022,,24,-0.9670329689979553,-102.63735961914062,95.95604705810547,55.03296661376953,-0.04395604506134987,2.391629219055176,2237,634,3689,2561,2050,1481,0,0,0,0,0,0,0,-34,-62,-62,-30,-72,122,124,122,125,121,124,41,44,43,44,42,45,0,1,8,8,1,11
