t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,0,-8.527472527472527,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2068,877,3563,2758,2128,1484,0,0,0,0,0,0,0,0,199,34,48,-65,122,124,122,125,121,124,45,47,46,47,46,49,0,0,0,0,0,0
0.0335,,1,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2068,877,3564,2758,2128,1484,0,0,0,0,0,0,125,27,125,-125,-98,-102,122,124,122,125,121,124,45,47,46,47,46,49,18,0,6,8,11,6
0.067,,2,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2076,877,3577,2748,2126,1483,250,0,450,-300,-50,0,170,27,227,-166,-69,-76,122,124,122,125,121,124,45,47,46,47,46,49,54,0,18,12,5,14
0.1005,,3,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2097,877,3598,2736,2121,1482,500,0,650,-450,-150,-100,173,27,166,27,-58,-69,122,124,122,125,121,124,45,47,46,47,46,49,31,0,2,2,4,11
0.134,,4,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2115,877,3611,2728,2117,1482,550,0,450,-200,-150,0,160,27,-34,-58,-34,-69,122,124,122,125,121,124,45,47,46,47,46,49,4,0,0,0,3,10
0.1674,,5,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2128,877,3617,2723,2116,1482,500,0,250,-200,-50,0,108,27,62,-41,-30,-69,122,124,122,125,121,124,45,47,46,47,46,49,0,0,1,0,3,11
0.2009,,6,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2134,877,3622,2719,2116,1482,250,0,150,-150,0,0,79,27,44,-23,-30,-69,122,124,122,125,121,124,45,47,46,47,46,49,3,0,0,0,3,10
0.2342,,7,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2141,877,3627,2715,2116,1482,250,0,150,-150,0,0,62,27,-90,0,-30,-69,122,124,122,125,121,124,45,47,46,46,46,49,2,0,0,0,3,11
0.2678,,8,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2143,877,3628,2714,2116,1482,50,0,50,-50,0,0,48,27,0,23,-30,-69,122,124,122,125,121,124,45,47,46,46,46,49,3,0,0,0,2,10
0.3012,,9,-8.43956043956044,-80.52747252747253,91.78021978021978,69.84615384615384,5.670329670329671,2.4868123587038435,2145,877,3629,2714,2116,1482,0,0,50,-50,0,0,44,27,0,27,-30,-69,122,124,122,125,121,124,45,47,46,47,45,49,3,0,0,0,3,11
0.3346,,10,-8.43956043956044,-80.52747252747253,91.6923076923077,69.84615384615384,5.670329670329671,2.4868123587038435,2147,877,3629,2714,2116,1482,50,0,0,0,0,0,34,27,0,27,-30,-69,122,124,122,125,121,124,45,47,46,47,46,49,2,0,0,0,3,10
0.3681,,11,-8.43956043956044,-80.52747252747253,91.6043956043956,70.02197802197803,5.670329670329671,2.4868123587038435,2147,877,3629,2714,2116,1482,0,0,0,0,0,0,34,27,-23,27,-30,-69,122,124,122,125,121,124,45,47,46,46,46,49,3,0,0,0,3,11
0.4017,,12,-8.43956043956044,-80.52747252747253,91.51648351648352,70.10989010989012,5.758241758241758,2.562170308967596,2147,877,3629,2714,2116,1482,0,0,0,0,0,0,34,27,-27,34,-30,-69,122,124,122,125,121,124,45,47,46,46,45,49,4,0,0,1,3,11
0.4352,,13,-8.43956043956044,-80.52747252747253,91.42857142857143,70.10989010989012,5.846153846153846,2.562170308967596,2147,877,3629,2714,2116,1482,0,0,0,0,0,0,34,27,-30,37,-27,-65,122,124,122,125,121,124,45,47,46,47,46,49,3,0,0,1,2,9
0.4687,,14,-8.527472527472527,-80.52747252747253,91.16483516483517,70.10989010989012,5.846153846153846,2.562170308967596,2147,877,3629,2714,2116,1482,0,0,0,0,0,0,34,27,-34,37,-23,-65,122,124,122,125,121,124,45,47,46,47,46,49,3,0,2,2,1,10
0.5022,,15,-8.527472527472527,-80.52747252747253,90.54945054945055,70.02197802197803,5.934065934065934,2.562170308967596,2147,877,3629,2714,2116,1482,0,0,0,0,0,0,30,27,-44,37,-23,-65,122,124,122,125,121,124,45,47,46,47,46,49,2,0,4,2,1,10
0.5356,,16,-8.527472527472527,-80.52747252747253,89.23076923076923,70.02197802197803,5.934065934065934,2.562170308967596,2147,877,3629,2714,2116,1482,0,0,0,0,0,0,30,27,-72,34,0,-65,122,124,122,125,121,124,45,47,46,47,45,49,2,0,12,1,0,9
0.5691,,17,-8.527472527472527,-80.43956043956044,87.47252747252747,70.02197802197803,5.934065934065934,2.562170308967596,2147,877,3629,2714,2116,1482,0,0,0,0,0,0,30,27,-142,34,0,-65,122,124,122,125,121,124,45,47,46,47,46,49,3,0,30,1,0,10
0.6026,,18,-8.527472527472527,-80.17582417582418,85.27472527472527,70.10989010989012,6.021978021978022,2.562170308967596,2147,877,3625,2714,2116,1482,0,0,-50,0,0,0,30,30,-124,34,0,-65,121,124,122,125,121,123,45,47,46,47,46,49,3,1,58,1,0,10
0.6361,,19,-8.527472527472527,-79.47252747252747,82.98901098901099,70.10989010989012,6.021978021978022,2.562170308967596,2147,877,3618,2714,2119,1482,0,0,-200,0,50,0,30,41,-187,37,-23,-65,121,124,122,124,121,123,45,47,46,46,46,49,2,3,86,2,1,9
0.6696,,20,-8.615384615384615,-77.36263736263736,80.7032967032967,70.02197802197803,6.1098901098901095,2.562170308967596,2148,878,3607,2716,2120,1482,50,0,-300,50,0,0,27,77,-240,30,-30,-65,121,123,122,124,121,123,45,47,46,46,46,49,1,11,99,1,2,9
0.7031,,21,-8.791208791208792,-74.28571428571429,78.24175824175825,70.02197802197803,6.9010989010989015,2.562170308967596,2148,883,3594,2721,2124,1482,0,100,-400,100,100,0,23,163,-282,0,-37,-65,121,123,121,124,120,123,45,47,46,46,46,49,0,20,121,0,4,9
