t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
5.0182,,150,-5.802197802197802,3.5164835164835164,-13.538461538461538,101.58241758241758,7.428571428571429,46.04370761115298,2168,1887,2436,3041,2128,2134,0,0,0,0,50,0,65,-199,-37,83,30,41,121,123,121,124,120,123,41,44,44,43,41,42,10,91,1,17,1,4
5.0517,,151,-5.802197802197802,3.5164835164835164,-13.538461538461538,101.58241758241758,7.428571428571429,46.04370761115298,2168,1887,2436,3041,2129,2134,0,0,0,0,0,0,65,-196,-37,83,27,41,121,123,121,124,120,123,41,44,44,43,41,42,11,87,1,18,0,4
5.0851,,152,-5.802197802197802,3.5164835164835164,-13.538461538461538,101.58241758241758,7.428571428571429,46.04370761115298,2168,1887,2436,3041,2129,2134,0,0,0,0,0,0,65,-196,-37,83,27,41,121,123,121,124,120,123,41,44,44,43,41,42,11,87,1,17,0,3
5.1186,,153,-5.802197802197802,3.5164835164835164,-13.538461538461538,101.58241758241758,7.516483516483516,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,50,0,65,-196,-37,83,23,41,121,123,121,124,120,123,41,44,44,43,41,42,10,87,1,18,0,4
5.1521,,154,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.516483516483516,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-196,-37,83,27,41,121,123,121,124,120,123,41,44,44,43,41,42,11,87,1,17,0,3
5.1855,,155,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.6923076923076925,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-199,-37,83,27,41,121,123,121,124,120,123,41,44,44,43,41,42,11,89,1,17,0,4
5.219,,156,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.868131868131868,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-199,-37,83,34,41,121,123,121,124,120,123,41,44,44,43,41,42,11,90,1,17,1,4
5.2523,,157,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.868131868131868,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-199,-37,83,41,41,121,123,121,124,120,123,41,44,44,43,41,42,11,90,1,17,3,4
5.2857,,158,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.956043956043956,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-199,-37,83,41,41,121,123,121,124,120,123,41,44,44,43,41,42,11,90,0,17,3,4
5.3191,,159,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.956043956043956,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-199,-37,83,44,41,121,123,121,124,120,123,41,44,44,43,41,42,11,90,1,17,4,4
5.3525,,160,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.956043956043956,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-199,-37,83,44,41,121,123,121,124,120,123,41,44,44,43,41,42,10,91,0,17,4,3
5.3859,,161,-5.802197802197802,3.4285714285714284,-13.538461538461538,101.58241758241758,7.956043956043956,46.04370761115298,2168,1887,2436,3041,2130,2134,0,0,0,0,0,0,65,-199,-37,83,44,41,121,123,121,124,120,123,41,44,44,43,41,42,11,90,1,17,4,4
