t,repeat,phase,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0087,0,lift,0,2227,909,3655,2666,2154,1494,2227,875,3655,2666,2154,1494,0,0,0,0,0,0,-86,0,-27,0,37,-65,121,123,122,124,121,123,46,46,46,48,48,51,3,0,0,0,2,7
0.0422,0,lift,1,2227,942,3655,2666,2154,1494,2227,880,3655,2666,2154,1495,0,0,0,0,0,0,0,33,0,0,0,0,121,123,121,124,120,123,46,46,46,48,48,51,3,25,0,0,0,2
0.0755,0,lift,2,2227,976,3655,2666,2154,1494,2227,893,3655,2665,2154,1495,0,250,0,0,0,0,0,192,0,0,0,0,121,123,121,124,120,123,46,46,46,48,48,51,0,67,0,0,0,0
0.1087,0,lift,3,2227,1010,3655,2666,2154,1494,2227,910,3654,2664,2154,1495,0,550,0,-50,0,0,0,181,0,23,0,0,121,123,121,124,120,123,46,46,46,48,48,51,0,83,0,0,0,0
0.1423,0,lift,4,2227,1044,3655,2666,2154,1494,2227,932,3651,2662,2154,1495,0,550,-50,-50,0,0,0,223,27,30,0,0,121,123,121,124,120,123,46,46,46,48,48,51,0,72,0,0,0,0
0.1757,0,lift,5,2227,1077,3655,2666,2154,1494,2227,955,3645,2661,2152,1495,0,650,-200,0,-50,0,0,255,48,30,23,0,121,123,121,124,120,123,46,46,46,48,48,51,0,70,6,2,0,0
0.2087,0,lift,6,2227,1111,3655,2666,2154,1494,2227,979,3645,2660,2150,1495,0,700,0,-50,-100,0,0,365,51,37,30,0,121,123,121,124,120,123,46,46,46,48,48,51,0,138,4,3,1,0
0.2423,0,lift,7,2227,1145,3655,2666,2154,1494,2227,1007,3643,2657,2149,1495,0,850,-50,-50,-50,0,0,329,55,44,34,0,120,123,121,123,120,123,46,46,46,48,48,51,0,149,5,5,1,0
0.2757,0,lift,8,2227,1179,3655,2666,2154,1494,2227,1035,3641,2653,2148,1495,0,800,-100,-150,0,0,0,343,62,62,34,0,120,123,121,123,120,123,46,46,46,48,48,51,0,129,13,12,3,0
0.3087,0,lift,9,2227,1212,3655,2666,2154,1494,2227,1061,3640,2649,2148,1495,0,800,-50,-100,0,0,0,361,69,72,37,0,120,122,121,123,120,122,46,46,46,48,48,51,0,147,10,15,3,0
