t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,0,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3683,2600,2069,1491,0,0,0,0,0,0,0,0,0,0,0,0,122,124,122,125,121,124,42,44,43,46,44,45,0,0,0,0,0,0
0.0334,,1,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3683,2600,2069,1491,0,0,0,0,0,0,34,-30,-101,0,-37,-80,122,124,122,125,121,124,42,44,43,46,44,45,6,1,12,0,3,7
0.0669,,2,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3682,2600,2069,1491,0,0,0,0,0,0,34,-30,-97,0,-34,-58,122,124,122,125,121,124,42,44,43,46,44,45,2,0,6,0,2,5
0.1004,,3,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3680,2600,2069,1491,0,0,-100,0,0,0,34,-30,-86,0,-34,-58,122,124,122,125,121,124,42,44,43,46,44,45,2,0,11,0,2,4
0.1339,,4,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3680,2600,2069,1491,0,0,0,0,0,0,34,-30,-86,0,-34,-58,122,124,122,125,121,124,42,44,43,46,44,45,1,0,15,0,2,4
0.1674,,5,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3680,2600,2069,1491,0,0,0,0,0,0,34,-30,-86,0,-34,-58,122,124,122,125,121,124,42,44,43,46,44,45,2,0,17,0,1,4
0.2008,,6,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3680,2600,2069,1491,0,0,0,0,0,0,34,-30,-86,0,-34,-58,121,124,122,125,121,123,42,44,43,46,44,45,1,0,17,0,1,4
0.2343,,7,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3680,2600,2069,1491,0,0,0,0,0,0,34,-30,-86,0,-34,-58,122,124,122,125,121,123,42,44,43,46,44,45,1,0,17,0,1,4
0.2679,,8,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3680,2600,2069,1491,0,0,0,0,0,0,34,-30,-86,0,-34,-58,122,124,122,125,121,123,42,44,43,46,44,45,1,0,17,0,2,4
0.3013,,9,-7.912087912087912,-80.26373626373626,94.5934065934066,59.472527472527474,1.4505494505494505,3.2403918613413714,2153,887,3680,2600,2069,1491,0,0,0,0,0,0,34,-30,-86,0,-34,-58,122,124,122,125,121,123,42,44,43,46,44,45,2,0,17,0,2,5
