t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,0,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2080,888,3684,2537,1950,1497,0,0,0,0,0,0,0,0,0,0,0,0,122,125,123,126,122,124,42,44,43,45,44,45,0,0,0,0,0,0
0.0335,,1,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2080,888,3684,2537,1950,1497,0,0,0,0,0,0,97,-49,-31,0,97,-97,122,124,123,125,122,124,42,44,43,46,44,45,13,3,1,0,11,13
0.067,,2,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2088,888,3684,2537,1961,1493,50,0,0,0,50,0,257,-37,-30,0,250,-110,122,124,122,125,121,124,42,44,43,46,44,45,37,2,0,0,37,21
0.1005,,3,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2105,888,3684,2537,1979,1489,450,0,0,0,550,-150,207,-37,-30,0,196,-86,122,124,122,125,121,124,42,44,43,46,44,45,17,2,0,0,10,6
0.134,,4,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2120,888,3684,2537,1994,1487,500,0,0,0,500,-50,132,-37,-30,0,33,-76,122,124,122,125,122,124,42,44,43,46,44,45,7,2,0,0,3,10
0.1674,,5,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2130,888,3684,2537,2003,1486,300,0,0,0,250,-50,108,-37,-30,0,93,-72,122,124,122,125,122,124,42,44,43,46,44,45,3,1,0,0,3,10
0.2009,,6,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2136,888,3684,2537,2009,1485,250,0,0,0,250,-50,79,-37,-30,0,69,-69,122,124,123,125,122,124,42,44,43,46,44,45,5,2,0,0,3,9
0.2344,,7,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2140,888,3684,2537,2013,1485,100,0,0,0,100,0,65,-37,-30,0,55,-69,122,124,123,125,122,124,42,44,43,46,44,45,6,1,0,0,2,10
0.2679,,8,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2143,888,3684,2537,2016,1485,100,0,0,0,100,0,51,-37,-30,0,-76,-69,122,124,123,125,122,124,42,44,43,45,44,45,3,1,0,0,0,9
0.3014,,9,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7128862094951014,2145,888,3684,2537,2018,1485,50,0,0,0,50,0,44,-37,-30,0,34,-69,122,124,123,125,122,124,42,44,43,46,44,45,4,2,0,0,1,10
0.3349,,10,-8.351648351648352,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,2.7882441597588548,2146,888,3684,2537,2019,1485,50,0,0,0,50,0,41,-37,-30,0,30,-69,122,124,123,125,122,124,42,44,43,46,44,45,4,2,0,0,0,9
0.3683,,11,-8.263736263736265,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,3.089675960813866,2146,888,3684,2537,2019,1485,0,0,0,0,0,0,41,-37,-30,0,30,-62,122,124,122,125,122,124,42,44,43,46,44,45,4,2,0,0,1,7
0.4017,,12,-8.263736263736265,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,4.069329314242653,2146,888,3684,2537,2019,1485,0,0,0,0,0,0,44,-37,-30,0,30,-48,122,124,123,125,122,124,42,44,43,46,44,45,4,2,0,0,1,3
0.4352,,13,-8.175824175824175,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,5.651846269781462,2146,888,3684,2537,2019,1485,0,0,0,0,0,0,44,-37,-30,0,30,62,122,124,123,125,122,124,42,44,43,45,44,45,4,2,0,0,0,1
0.4687,,14,-8.087912087912088,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,8.214016578749057,2146,888,3684,2537,2019,1488,0,0,0,0,0,100,48,-37,-30,0,30,142,122,124,123,125,122,124,42,44,43,46,44,45,6,3,0,0,0,13
0.5022,,15,-8.087912087912088,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,11.680482290881688,2146,888,3684,2537,2019,1495,0,0,0,0,0,250,51,-37,-30,0,30,255,122,124,123,125,122,124,42,44,43,46,44,45,6,1,0,0,1,29
0.5357,,16,-8.087912087912088,-80.35164835164835,96.35164835164835,54.02197802197802,-2.1538461538461537,15.44837980406933,2146,888,3684,2537,2019,1516,0,0,0,0,0,550,51,-37,-30,0,30,351,122,124,122,125,121,124,42,44,43,46,44,45,7,2,0,0,0,32
0.5692,,17,-8.087912087912088,-80.35164835164835,96.35164835164835,54.02197802197802,-2.1538461538461537,19.065561416729466,2146,888,3684,2537,2019,1542,0,0,0,0,0,800,51,-37,-30,0,30,357,122,124,122,125,121,124,42,44,43,46,44,45,7,2,0,0,1,69
0.6027,,18,-8.087912087912088,-80.35164835164835,96.35164835164835,54.02197802197802,-2.1538461538461537,22.230595327807084,2146,888,3684,2537,2019,1577,0,0,0,0,0,850,51,-37,-30,0,30,432,122,124,122,125,121,124,42,44,43,46,44,45,7,2,0,0,1,79
0.6361,,19,-8.263736263736265,-80.35164835164835,96.35164835164835,54.02197802197802,-1.8021978021978022,24.415975885455914,2146,888,3684,2537,2019,1618,0,0,0,0,0,1200,51,-37,-30,0,30,393,122,124,122,125,121,124,42,44,43,46,44,45,8,2,0,0,0,81
0.6695,,20,-8.791208791208792,-80.35164835164835,96.35164835164835,54.02197802197802,-1.5384615384615385,25.62170308967596,2146,888,3684,2537,2020,1662,0,0,0,0,50,1300,44,-37,-30,0,42,388,122,124,122,125,121,124,42,44,43,46,44,45,4,1,0,0,2,70
0.703,,21,-9.31868131868132,-80.35164835164835,96.35164835164835,54.02197802197802,-1.5384615384615385,26.29992464204974,2146,888,3684,2537,2022,1704,0,0,0,0,50,1300,16,-37,-30,0,44,407,122,124,122,125,121,124,42,44,43,45,44,45,1,2,0,0,2,32
0.7363,,22,-10.021978021978022,-80.35164835164835,96.35164835164835,53.934065934065934,-1.5384615384615385,26.29992464204974,2146,888,3684,2537,2024,1742,0,0,0,0,50,1200,-33,-37,-30,0,37,285,122,124,122,125,121,124,42,44,43,45,44,45,3,1,0,0,1,11
0.7697,,23,-10.901098901098901,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,26.07385079125848,2146,888,3684,2537,2025,1769,0,0,0,0,0,800,-64,-37,-30,0,34,164,122,124,123,125,122,124,42,44,43,46,44,45,8,2,0,0,1,3
0.8032,,24,-11.340659340659341,-80.35164835164835,96.35164835164835,53.934065934065934,-2.1538461538461537,25.92313489073097,2143,888,3684,2537,2025,1787,-150,0,0,0,0,500,-108,-37,-30,0,0,104,122,124,123,125,122,124,42,44,43,46,44,45,11,2,0,0,1,8
