t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper
0.0,,0,-13.89010989010989,-80.43956043956044,94.68131868131869,60.26373626373626,-1.5384615384615385,2.4114544084400906,2140,883,3685,2608,2030,1481,0,0,0,0,0,0,0,0,0,0,0,0,122,125,123,126,122,124,42,44,43,46,44,45,0,0,0,0,0,0
0.0335,,1,-13.626373626373626,-80.43956043956044,94.68131868131869,60.26373626373626,-1.5384615384615385,2.4114544084400906,2140,883,3685,2608,2030,1481,0,0,0,0,0,0,-97,-23,-92,0,0,-92,122,124,123,125,122,124,42,44,43,46,44,45,12,0,14,0,0,11
0.067,,2,-13.362637362637363,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.4114544084400906,2133,883,3684,2608,2030,1481,-100,0,0,0,0,0,-106,-23,-101,0,0,-69,122,124,123,125,122,124,42,44,43,46,44,45,31,0,10,0,0,11
0.1004,,3,-13.274725274725276,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.4114544084400906,2120,882,3682,2608,2030,1479,-400,0,-100,0,0,-50,-87,0,-93,0,0,-62,122,124,123,125,122,124,42,44,43,45,44,45,6,0,15,0,0,6
0.134,,4,-13.186813186813186,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.4114544084400906,2111,883,3682,2608,2030,1479,-400,0,0,0,0,0,-65,-23,-93,0,0,-62,122,124,123,125,122,124,42,44,43,46,44,45,6,0,20,0,0,8
0.1675,,5,-13.186813186813186,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.4114544084400906,2110,883,3682,2608,2030,1479,-50,0,0,0,0,0,-58,-23,-93,0,0,-62,122,124,123,125,122,124,42,44,43,46,44,45,4,0,21,0,0,7
0.2009,,6,-13.186813186813186,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.4114544084400906,2106,883,3682,2608,2030,1479,-50,0,0,0,0,0,-48,-23,-93,0,0,-62,122,124,122,125,122,124,42,44,43,46,44,45,3,0,20,0,0,7
0.2343,,7,-13.186813186813186,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.4114544084400906,2103,883,3682,2608,2030,1479,-150,0,0,0,0,0,-34,-23,-93,0,0,-62,122,124,123,125,122,124,42,44,43,46,44,45,3,0,21,0,0,7
0.2678,,8,-13.186813186813186,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.4114544084400906,2102,883,3682,2608,2030,1479,-50,0,0,0,0,0,-30,-23,-93,0,0,-62,122,124,123,125,122,124,42,44,43,46,44,45,1,0,21,0,0,7
0.3014,,9,-13.186813186813186,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,2.562170308967596,2101,883,3682,2608,2030,1479,0,0,0,0,0,0,90,-23,-93,0,0,-62,122,124,123,125,122,124,42,44,43,45,44,45,1,0,22,0,0,7
0.3349,,10,-13.186813186813186,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,3.541823662396383,2100,883,3682,2608,2030,1479,-50,0,0,0,0,0,-23,-23,-93,0,0,-55,122,124,123,125,122,124,42,44,43,46,44,45,1,0,21,0,0,5
0.3684,,11,-13.098901098901099,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,5.35041446872645,2100,883,3682,2608,2030,1479,0,0,0,0,0,0,-23,-23,-93,0,0,57,122,124,123,125,122,124,42,44,43,46,44,45,1,0,20,0,0,3
0.4019,,12,-13.098901098901099,-80.43956043956044,94.5934065934066,60.26373626373626,-1.5384615384615385,7.987942727957799,2100,883,3682,2608,2030,1482,0,0,0,0,0,0,0,-23,-93,0,0,59,122,124,123,125,122,124,42,44,43,45,44,45,0,0,20,0,0,16
